Borrower ID,LoanType,Total Loan Amt,Mth1 paysts (May),Mth2 paysts (Apr),Mth3 paysts (Mar),Mth4 paysts (Feb),Mth5 paysts (Jan),Mth6 paysts (Dec 17),Mth7 paysts (Nov 17),Mth8 paysts (Oct 17),Mth9 paysts (Sep 17),Mth10 paysts (Aug 17),Mth11 paysts (Jul17),Mth12 paysts (Jun 17),obn,Loan Principal Amt,Loan Type,Is MECB member,Is MLCB member
1475,UNSECURED,500.0,-,-,-,CL,OK,-,-,-,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,True,True
1566,UNSECURED,1079.34,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
510,UNSECURED,302.95,-,-,CL,OK,OK,OK,-,-,-,-,-,-,MAIN BORROWER,600,Personal - Pay Day,True,True
1309,UNSECURED,374.6,-,-,-,-,CL,OK,OK,-,-,-,-,-,MAIN BORROWER,800,Personal - Pay Day,True,True
2490,UNSECURED,570.74,CL,-,OK,OK,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,False,False
3044,SECURED,200000.0,-,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500000,Personal - Pay Day,False,False
3813,UNSECURED,529.56,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,300,Personal - Pay Day,True,
2741,UNSECURED,374.58,-,CL,OK,OK,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,True
1975,UNSECURED,300.0,-,-,-,-,-,-,-,-,-,CL,OK,-,MAIN BORROWER,900,Personal - Pay Day,True,False
3790,UNSECURED,305.5,-,-,-,CL,OK,OK,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
2202,UNSECURED,799.03,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,False,False
3443,UNSECURED,364.0,-,CL,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,1000,Personal - Pay Day,False,False
2593,UNSECURED,401.33,-,-,-,CL,OK,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,True
2138,UNSECURED,520.0,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,700,Personal - Pay Day,True,False
2619,UNSECURED,799.03,OK,-,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,False,False
2794,UNSECURED,572.0,OK,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,False,False
1145,UNSECURED,529.56,-,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,800,Personal - Pay Day,False,False
1638,UNSECURED,403.58,-,-,-,-,-,-,CL,OK,-,-,-,-,MAIN BORROWER,800,Personal - Pay Day,True,False
3306,UNSECURED,426.48,-,-,-,-,-,-,-,-,-,-,-,CL,MAIN BORROWER,500,Personal - Pay Day,True,False
3617,UNSECURED,572.0,-,-,-,-,-,-,-,-,-,OK,CL,-,MAIN BORROWER,450,Personal - Pay Day,True,False
1200,UNSECURED,520.0,-,CL,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,500,Personal - Pay Day,True,False
683,UNSECURED,531.41,CL,OK,OK,-,-,-,-,-,-,-,-,-,MAIN BORROWER,"
     
     
     
     
     
     
     
  ",Personal - Pay Day,True,True
1760,UNSECURED,1500.0,CL,OK,-,-,-,-,-,-,-,-,-,-,MAIN BORROWER,800,Personal - Pay Day,True,False
